nama_caleg,pasangan
LAMBANG SATRIYO PRAKOSO,-
THUBA FITHRIANA,-
SUWARNO,-
DEDY LESMANA,-
"H. MUH ZEN, S.Ag, M.Si",-
"FUAD, S.Ag",-
"IMAM BAEHAQI, MH",-
"ERNY SUSHAYATININGSIH, SH",-
"NORMA WAHYU KUSUMA SEJATI, S.IP",-
"ABDUL AZIZ, S,Ag., M.Si",-
NUR ALIYAH,-
"MOHAMMAD MUJIB, S.Pd.I",-
MAHFUDLOH,-
"IBNU MUHAJIR, SE",-
TAFRIKAH,-
"IVAN AGUSTA, S.T.",-
"WISNU WAHYU HARDJANTO, SE, M.I.Kom",-
dr.. AYUNINGTYAS UTAMI,-
EVODIA AGRIA CHRISTIE,-
"PUJIYONO, SE, MM",-
IMAM ROSYADI,-
"SIH WINANTU, BA",-
INDRATMONO,-
"TASI DENNY SEPTIVIANT, SH",-
"Drs. H ROMLI, SH, MH",-
MITSBAHATUL HIDAYATI,-
TEGUH WIDODO,-
"NINDY MAWA HAPSARI, SH",-
"FATHONI, S.Pd.I",-
SRI HARTATI,-
"SAIFUDDIN ZUHRI, S.Ag",-
"AHMAD SHOLIHUN NADLIF, S.E",-
MUSTIKA PUTRI HARDIANI,-
ABU NAFI,-
"A. SAHAL MAEMUN, S.H.I",-
"HJ.. USWATUN MARHAMAH, S.Ag., M.Pd",-
"WAHYUDI, S.Pd.I",-
SUS MARDIYAH,-
SRI RAHAYU,-
DRS. H. NUR SOLIKIN,-
AMINUDDIN,-
Ir. IRWAN GUSTRIAWAN,-
"RINI ASTRIA, S.Psi",-
"SUNARMIN, SE, MM",-
"IIM AMBARWATI, A.Md",-
"KURNIAJI SATRIO, S.Kom",-
"DEWI WIDAYATI ANGGRAINI, A.Md",-
"NOERTJAHJANI SOENARINGTYASTUTI, S.Sos",-
"H.. SUMANTO, SH.",-
"STEPHANIE OLIVIA, S.IP",-
"HJ. TETY INDARTI, SH.",-
"SUMIYARNO, SH",-
SUGENG SUTRISNO,-
YOSEF PRADITA PURBA NUGRAHA,-
"RAHMAWATI SILVIYAH, S.E.",-
SRIYANTO,-
FERI IRAWAN,-
"ENDANG TIDAR MULYANINGSIH, S.E., MM",-
SIGIT ARIANTO,-
"SUROJOGO PB. SH, SE",-
WINDI HIQMA ARDIANI,-
PANTI RASTINI,-
"H MUKAFI FADLI, S.Ag, ST",-
"NUR MUHAMMAD SUGIYARTO, SE",-
FATIH AZ ZAHRA,-
SUJATMOKO BUDI SANTOSO,-
ROBI ATUS SHOLIHAH,-
"NUR HAYATI, SPd.I",-
MAMLU?ATUL KAROMAH,-
SUMARTINI,-
OFFI HARTANTO,-
SUSI IRIANI,-
SRI WAHYUNINGSIH,IMAM HAROMAEIN
"WAHYU PRASETYA YULIANTO, ST",-
ROFIANI ANWAR,A
PERMADI,TITIEK KHAZANAH ATI
"FAJARSARI CHRISTIAWAN, SE",-
M. DZIA UL HAQ,-
ABDUL WAHID MAHFUDH,-
"KHOIRUL UFESY, S.Kom",-
ASYATUL LAILI,-
AVIANI,-
BOMO YUSUF SAPUTRO,-
RIYADLOTUSSHOLIKHAH,-
HEPI SUGIARTO,-
ANWAR MUSTAFA,-
TIYAS AYU PUSPITASARI,-
MUHAMMAD BILAL,-
BELLA SWISKA,-
"MUH.MUHSON NURUL KHAWARI, SS",-
"RIANDIKA ANGGRAENI HUSEN, ST",-
ENDANG JANIS JUMIARTI,-
"DEDY FEBRIANTO, S.IP",-
"CHAIRUL SADAD ALBAR, SH, MH",-
KRISTININGSIH,-
ARDHIE KURNIAWAN,-
PENI CANDRASARI,-
"M.NURYADIN EDY PURNAMA, S.Sos.I",-
"DYAH RESTU HASDIANI, S.E.Sy.",-
YOVIE FADHIL SHAFIRA,-
"HERY SUPRIYANTO, A.Md.",-
NOVIA DAMAYANTI,-
HASMI ANSAH DAUD,-
"VOLCE VERDIANTO, SH",-
FENDY DWI KUSWANTO,-
"H.. MUJAERONI, SH, MH",-
DIANA PURNAMASARI,-
STEVENS HEKAKAJA,-
"R. SUBEKTI PONCO WIBOWO, SH., Sp.N",-
"N. RIKO BARUNO ADI PUSPITO, SH.",-
H. M CHAMIM IRFANI,-
HILYA MALIHAH NUR HIMMATI,-
AMINUDIN LATIF,-
MUNAWIR,-
ROHMAH DINI HARINI,-
"FARID KURNIAWAN, S.Th.I",-
BERNADITA ASRI DWI HAPSARI,-
HM. ANSORI,-
INA PRIMASARI,-
BANYUSENO TUNDJUNGSETO,-
HENDRAR PANGESTININGDYAH,Ir. FAJAR KARTIKA
IMAM HANAFI,-
SLAMIYANTO,I
"ZAENAL MUSTOFA, S.Pd., SH., MH",-
"ADE NOVIE, SE",-
"DWI AGYINI, S.SOS.",-
"SUKAMTO, S.Ag",-
"NISAFIAN ROMADHONI, S.Pd",-
"EDDY SANTOSO, S.Pd",-
EDI LESTARININGSIH,-
SURATIJA,-
SHOFI HANIFAH,-
"H.. ARIF SAHUDI, SH., MH",-
"ANDREAS PANDAPOTAN SIHOMBING, S.H.",-
"EKO HARIYANTO, S.E",-
"USTIKA HANIS PRAMUDYA, S.H.",-
"ANANG IMAMUDDIN, SP",-
MULYANTO,-
KING SATRIA YUDHA RASA,-
WINARNI ASTUTI,-
EKO SUSILO,-
"HARISNU TRI HASNOWO, SE",-
SUPRIYADI,-
YENI TRIYANI,-
DWI PURWANTO,-
"ACHMAD BULKIS, S.I.Kom, M.I.Kom",-
"MUJARIYAH, S.Pdi., M.Si",-
"Drs.. H. SOEWARNO, MM., Msi",-
SUHARTININGSIH,-
"WARSANA, S.H.",-
"WINARI FAJAR SUSWATI, A.Md.",-
KEMAS DENDY PRIHADIBYANTO,-
"EKO WIBOWO, S.T.P",-
"ROHMAT JUNAIDI, S.IP",-
NURUL FARIDLOH,-
"DRS. MOH. BUDIYONO, BSC",-
"ZAINUDDIN, SHI",-
CHANIFAH ZUMZUMI,-
SATYAGRAHA SURYAAGUST,-
DWI BAITI JANNAH,-
LAILATUL QODARIYAH,-
"YULIATIN WURYANTI, S.Pd.I",-
BAKTI DILA MARSUDIYA NUGROHO,-
"Drs.. SRIJONO, M.Si",SS
AGUS SETYO WARDOYO,-
"IBNU MALIK, S.Pd.I., S.Pd",-
"ASLIKHATUL FUADAH, S.Pd.I",-
AHMAD DIMYATI,-
WALNO,-
RAUDLATUL JANNAH,-
ATINA NUZULIA,-
MUHAMMAD HANAFI,-
AGUNG WISNU KUSUMA,-
MIKO VINALDHO,-
"EVI YULI ASIH, SH",-
"KUSWAN HADJI, SH, MH",-
DIKHA PANDU KUSUMA,-
NANANG SETIYONO,-
ENGGIT GUSTA IRFANDI,-
"KHOLIK IDRIS, SE., S.H., M.Si",-
H. MUHAMMAD SUHARDI,-
"ESTRI UTAMI SETYOWATI, S.T.",-
"HARYO DEWANDONO, S.E.",-
"SITI FADLILAH, S.Pd.I.",-
CHRIS HENDRATNO SETIAWAN,-
"SITI KHASANAH, SPD.I",-
"DR.. FERRY FIRMAWAN, ST., M.T.",-
JOKO HADI SATYOGA,-
THERESIANA DESTY WULANDARI,-
SIS DARYANTO,-
GALIH PRAKOSA,-
INDRIYA FAJAR SARI,-
FINA MANDHASARI,-
dr.. TOMY WAHYUDI,-
H. MUH HENRI WICAKSONO,-
AKHMAD FADLUN SY,-
NUR HIDAYAH,-
SYAIFUL BAHRI,-
AGUS HAKIM,-
LAILI RIF?AH MAFTUHAH,-
AINUR ROFIQ,-
ALFIATU ZAHRO,-
"BAMBANG SUTARTO, SH,M.Pd,",SS
"IRAWAN PRASETYADI, S.SI,M.M.PAR",SRI
"SANTY RAMANTIKASARI.SARDJONO, S.P",-
"MUHAMAD NGAINIRRICHADL, SHI",-
PAWIT ADI WIBOWO,-
NIHAYATUR ROHMAH THOMAFY,-
HASA MALQOS,-
DWI NUR INTAN SARI,-
MUHAMMAD AINUNNAIM,-
NURUL IFADAH,-
HENNY OKTAVIA SARI,-
SUPRIYADI,-
VIVIK MEKARNINGSIH,-
R. CHANDRA HASAN PERDANA KUSUMA,-
"MUMAYYIZAH, S.Ag., M.Pd.",-
"NIDA URROHMAH IPMAWATI, S.Pd., M.Pd.I.",-
GRACE DIANA HARIADINATA,-
"ELIP MUVARIDA, S.Sos",-
H. SLAMET EFFENDI,-
"PANDJI SUSILO, SH, SS, M.HUM","Dr. SRI MARIA TANTRI, Spk"
HAMZAH B HOESIN BAHANAN,SITI FATIMAH
"H. BASO JUHERMAN, SP.,SH.",-
"HJ. HARI ASTUTI, SH",-
"FARID SUUDHIE, SE",-
"Ir.. H. RAJINI, M.Si",-
"SITI FARIDA IRIANI, S.E.,M.M",-
SITI RAFIKA HARDHIANSARI,-
"FERY IRAWAN, S.Pd",-
"Drs. H.. IBNU STIAWAN, M.Si",-
ELLY TRI WULAN,-
"GATOT SUTANTRA WISNUMURTI, SH",-
"DEDY SETIO, SH, MH",-
YULI KRISTINA WATI,-
ARUM PALUPI YULIWIKANTI,-
WAHYU WARDIANTO CATUR PUTRA,-
"IRFANDRI, SE",-
"ARIFUDINSJAH, SH, CN",-
SUHARTONO,-
UPIK MALAHAYATI,-
BAYU HARI PRASTIYO,-
ANTONIUS NGAGHO,-
NI MADE HERAWATI,-
EKA MAHARANI,-
RISTANTI DIAH KIRANA,-
"H. SAMSUL ARIFIN, S.AG., M.SI.",-
"SITI NAFSIYAH, S.I.P.",-
"SITI FATIMAH, S.PD.I., M.PD.I.",-
MOCH. DJERDJIS,-
"AKHMAD KHOLIQ, S.E.",-
YUANITA FATMA AYUNINDYA,-
"H.. M. FARIDZ AFIF, S.I.P., M.A.P.",-
SUDARSONO,-
"Ir. HM. TANZIL FURQON, M.MT",-
E. RETNO DEWI PULUNGSARI,-
"ANSELMUS RAGA MILO, SH., M. Hum",-
GIANTO WIJAYA OEI,-
DRA.. INTEN SETIARSIH,-
SIMON LEKATOMPESSY,-
MERLIN JULIANA MANURUNG,-
"BAMBANG PERMADI SOETJAHJO, SH., M.Kn",-
"M. WENDIK ARIFIYANTO, S.Kom",-
"SALLY AZARIA, S. Sos., M.PPO",-
"SATRIO BAGUS PRAYOGO, S.KOM",-
JULIANA,-
GUNAWAN,-
HERMANA DEBORAH LOUIS,-
BERNARD BUTAR BUTAR,-
"MOH. BADARUDDIN, SE.MM",-
M CHOESNOEL FARID,-
"SWIDJI ASTUTI, S PD. MM.",-
"YAFETI WARUWU, SH",-
"SAMUEL TEGUH SANTOSO, SH.,MH.,M.Psi.,MM",-
"NUR ALFIANI, S.Sos. S.Pd.",-
"TATIK EFFENDI, SH",-
"ARI RAHARMADI, SE.",-
Drs. H. ALI FIKRI,-
"MASDIN NASARUDIN, S.SOS",-
"LELIYANA, SE.",-
"MUSSOLLIN, ST.",-
SALAHUDDIN,-
DINDA PUTRI FAUZIAH,-
MOCHAMMAD ZAKARIJA,-
HERMIN AGUSTIANA PURWATI,-
H. MUNAJAT,TRI MUJAYATI
ENDANG SRI FHAYANTI,"BAGUS PRASETYO, ST"
ALFAJAR,-
Drs.. ACHMAD MARDIANTO,-
"TITIK ATIMAH NURHAYATI, S.Sos",-
RIZKI YUSRINA,-
AYU ISNAINI FIDHAYANTI,-
"H. AGUS SISWAHYUDI, SE, SH",-
"SELVIA ZUROIDA, SH",-
NURUL AMALIA,-
MOHAMMAD SAHLAN,-
EVRILIA INDRIANI,-
BRYAN ROBERT PONTO,-
SUSANA,-
"STEVEN KHU, SE",-
IS ANDRIYANTO,-
"NUNING ASMARA SUSANA, SE",-
RYAN HERDIANSYAH,-
ANGGI JULIAN ANDANSARI,-
"DRS. H.. A. HALIM ISKANDAR, M.PD.",-
"MASDUKI, S.PD.I.",-
"SULAMI, S.PD.I.",-
"M. IRSYAD AZHARI, S.PD.",-
"AHMAD ATHOILLAH, , S.I.P., M.I.P.",-
ENNO AYU LAFYNNA,-
"WIWIK ENDAHWATI, S.AG.",-
DRS. H.. SYAIFUL FUAD,-
H.. ACHMAD HERI,-
"dr. HERU SUSWOJO, S.Ked, M.Kes.",-
"Dra. MIFTAHUL DJANAH, M.Pd.I.",-
"H. SUWANDY F, S.E.",-
A DWI SULISTYO P,-
"IKA IRCHAMI LAH AZZA, S.H.",-
"DRS. H.. PURWO SANTOSO, M.M.",-
"MAIMUNAH, S.Pd.I",-
M. AFWAN AL ASGAF,-
"AGUS SANTOSO, ST,MM",-
"CAHAYA WULAN AGUSTINA, S.Sos",-
SITI AMINAH,-
"H. MINARDI, S.H.",-
NURUL KIPTIYAH,-
"SANDY FERRY ANTONO, S. T.",-
WAHYU PUJI SUSANTI,-
Drs.. NOEGRAHA SAPTAINDRA,-
SUHARTINI,-
"ANGRENI ASMORO, B.Sc.",-
"EKO PUTRO NUGROHO, S. P.",-
"ESTU SUPAMIARSIH, S.Sos",-
"DR.. SUJATMIKO, M.Kes",-
"DJOKO WIDIJANTORO, SE.",-
HAPPY NOORDITTA,-
"SUDJONO, IR","SUWARTI, SP.D"
YUNNEID LAURA KARTIKASARI,-
HENDRI TRI SUGARA,-
"SYAHLAN HUSAIN, SH",-
EKO CAHYONO,-
"DEASY ARISTA SARI, A.Md",-
SUNANIK,-
"DESY NATALIA WIDYA, S.IP",-
"GITA DJUWITA, SH",-
ENDRIK DWI CAHYA,-
"BASUKI, SH",-
RIA AMALIA,-
DWI BAYU SAPUTRO,-
EKA PRAMESTIN,-
"MUNIR AL FANANI, S.H.",-
"DRA. HJ.. AISYAH LILIA AGUSTINA, M.SI.",-
"RAGIL BAIDOWI, S.TH.I., M.S.I.",-
"NOVA NURUL HUDHA, S.E., M.M.",-
ARFINDI IKFI NAINI,-
"MUHAMMAD AJI KURNIAWAN, S.PD.",-
DRS. AINUL YAKIN,-
"ROTUA SAUT MANGIRING HUTASOIT, S.Sos",-
"SUTOYO IRIANTO, S.T",-
TAUPAN DEVYANTO,-
REZA AYU PALUPI,-
ULFI FAUJIAH,-
RB INGGAR PRASNAWAN,-
JUJARDI,-
YULIA NOVI ROCHANITA FARICHE IKA WIJAYA,-
DJOKO SUWONO,-
MARIANA NUGROHONING TIJAS,-
"ANDRY WIBOWO, S.H.",-
"WILHELMUS HINDOM, S.IP",-
PUDJO HUTOMO,-
"DYAH LAKSAMITA MAHARANI, A.Md",-
"AGUNG SUPRIYANTO, S.H.",-
"DRH. IRAWAN SUBIYANTO, M.SI",-
"SISWATI EKA RAHAYU, S.SOS",-
"Drs. MUNARIADI, M.Pd.I.",-
KANIFUDDIN,-
HESTI NURYANI,-
"SRI HESTININGSIH, S.H.",-
ARNOLDUS GEMBO,-
FENNY PANGESTUTI LASTARI,-
"MUKHAMAD FATHONY, SPT",RIMA
FAWAID,-
"CHANDRA PURNOMO WELYANTO, SE., MBA",-
"MAUDUDI QUTB MUCHLIS, ST",-
RETNO PUSPITA NINGSIH,-
Drs.. MOH. RIZAL ALZAHARI,-
MUDJIATI,-
ENDANG FITRIANINGSIH,-
"DRA.. HJ. YAYUK PADMI RAHAYU, M.SI",-
"H. BUDIONO, S.SOS",-
"RASIDAN, SE",-
Ir.. DEWI ALAM SJARI,-
SUWANDI,-
FERINDA AGUSTINA IDA SUSANTI,-
BAWANTI SETIANINGSIH,-
SALIM,-
"Drs. H. MOH FARCHAN, M.Si",-
"SITI NGAISAH, SH, MH",-
"WAHYU ADI PAMUNGKAS, S.Pd",-
ANITA KAROLINA,-
BENY IRAWAN,-
"DRS. HADIATMOKO, SH",-
"AKHMAD ARIES, ST",-
"SRI NURMINI MUSILA, SE",-
AMALIA HERLINDA DIAN SAVITRI,-
"KHOZANAH HIDAYATI, S.P.",-
DRS.. NUR AZIS,-
"MUTIMMATUR RAHMA, S.PSI.",-
"KARTONO, S.H.",-
"INDI HANIM AMALIYAH, S.H.",-
"Dra. ARIE S. TYAWATIE, M.M.",-
Drs. H. SUMANTRI,-
H. SUKASDU,-
SITI MASTUROH,-
"ROBBY KURNIANSYAH, S.IP.",-
JOKO ADI SUNARYO,-
AYUNINGMI,-
SAMSUL ARIFIN,-
ARIS BUDI SANTOSO,-
AJU WIDJAHNARTI,-
"SUPAAT, SH",-
SUCI RAKHMAWATI,-
"Ir.. INDRA WIRAWAN, M.Si",-
ARNALDO DOS REIS ARAUJO,-
"ASPRIYANTI, SE.",-
TJATUR SETIONO,-
"FINDO MEY CAHYANI, S.IP.",-
"DRS. AMAR SAIFUDIN, MM",-
"USWATUN CHASANAH, SE",-
"M. RIZAL SYAHRONI, S.Kep",-
"DINDA DYAH MEGASARI, S.ST",-
RIXVAN AFGANI,-
RITTA NUR INDAH SUKMANAIM,-
"IQBAL SANNI, S.Si., MH.",-
DIANTO,-
"MUHAMMAD, SE",-
"YUNAINI ALI ROCHAYATI, SH",-
Drs.. H. ABDULLOH FAQIH,-
SISWOYO,-
Dra.. NUR DJAMILAH,-
DRS.. HM. ROFIQ,-
"H. ACHMAD FIRDAUS FEBRIANTO, SH, MH",-
PUJI ASTUTIK,-
"FEBRIAN SYAH SATRYO PERKASA, SE",-
MUFAROCHAH,-
NUR ANSHAR,-
RINDA ARIYUNIARTI,-
"OKTA ROSADINATA, SE",-
SURYADI,-
RAHAYU FANTRI UMROH,-
MUHAMMAD ZAINI,-
DINA RAMADHANY,-
"JOKO SUNYOTO, DRS",-
DUNANTO ARIOTEJO,-
VINSENSIA EVA HANDAYANI,-
"H.. MAKIN ABBAS, LC., M.A.",-
HJ.. UFIQ ZUROIDA,-
"AGUS JUNAIDI HAMZAH, S.AG.",-
"H.. MUHAMAD AHYAT, S.E.",-
"Hj.. FATMI ASRI, S.H.",-
"IKA MEIRAWATI, A.MD.",-
"ASYHARI, S.P.",-
"DRS. H.. SUPARTA, M.M. M.SC.",-
H. AHMAD IWAN ZUNAIH,-
"HENNY RIYANTI, S.Pd",-
YUSUB,-
MUNJIAH,-
RATNA MESTIKA SARI PUTRI,-
"SURYANINGSIH, S.S., M.Pd.K.",-
"DEVAN GUNAWAN, S.E.",-
NURHUDA,-
"SULIYONO, S.Kep",-
ROISATUL HIKMAH,-
"ABDUL HAFID, SH",-
LIA ANISA,-
DIDIK SUPARDI,-
IIN PURWANTI,-
"MULYONO, IR.",-
"MIFTAHUS SHOMAD, S. TP, MM",-
"CICIK KURNIA, S.H.",-
"EDY PRIYONO, Drs, Ec.",-
"DIAN ISLAMIE, Amd.Keb.",-
"MALIK EFFENDI, SH.,MH",-
ALI MURTADHO M.S,-
"NIA FATIMATUS ZAHRA, S.PD.I",-
"MOH YANTO, S.Pd.",-
"NURUL HUDA, S.HI",-
ASTIN PUJININGSIH,-
"MOCH. AZIZ, SH.",-
"SUKARDI, SE",-
ELY ELFIDA RAHMATULLAILI,-
"M. WAHYU, ST",-
DRS. H. ACHMAD,-
"INTA HABIBA INSAN KAMIL, A.Md. KEB.",-
RATIH TRI PRASETYOWATI,-
MUSYAROFAH,-
DEWI SUSILOWATI,-
"ERNA HANDAYANI, DRH",ANWAR
"MATHUR HUSYAIRI, S.Ag",-
"ALFIAH SUFIANI, SE",-
"MUHDLAR ABDULLAH, SH",-
Drs.. SUHARTONO,-
Ir.. MOCH. RACHMATULLAH AL AMIN,-
ISTIANAH ASAS,-
"H. AHMAD MUZAIRI, SH",-
"SUMARWI H. FAWAID. H, SH",-
MAULIDIA,-
UMMI KULTSUM,-
MOH. DONI,-
"MOHAMMAD HODAI, SH",-
"MAHHUD, S.Ag",-
Drs.. H. IMAM BUHARI,-
HERMAN ARIYANTO,-
DASWI,-
SITI FATIMAH,-
"H. HERI EFENDI, S.KEP. NS.,M.KES",-
"MOHDOR ALI, S.PDI",-
FITRIYAH,-
"SAMSUL ARIFIN, S.IP",-
"ACH. HAZAIRIN ISMAIL, SH, MMP",-
"ATI ROSTIANI, S.E.I",-
SITI AISYAH,-
ROWIYATUDDINIYAH,-
"LAYLI HASAN, S.Hi",-
"AINURRAHMAN, S.H",-
"ILHAM AKBAR, SE",-
ANI IKAWATI,-
DRS. H.. M. SYAFIK ROFII,-
ALYADI,-
"NURFITRIANA, S.E.",-
"MAKHRUS ALI, S.AG.",-
"H.. ALI WAFA, S.AG., M.SI.",-
SITI ZUMROH,-
"NUR FAIZIN, M.A.",-
"MUHAMAD SAFIUDIN, S.H.I.",-
"RISKIYAH HIDAYATI, S.AK.",-
H. AKHMAD ZAINAL ARIFIN,-
"MOH. ALI MANSUR, S.PD.",-
"SITI FATHONAH RACHMANIYAH, S.T., M.M.",-
ABDULLAH IBRAHIM,-
"ABDU ROHMAN MAHMUD, S.E.",-
JAYANTI MARIANA,-
MASKUR HOLIL H,-
"H. MOHAMMAD NASIH ASCHAL, S.PD.",-
MOH SALIM,-
MOH. HOSNI,-
ALIFTI RISKIYAH,-
ABD. RACHMAN,-
ROYFA EKA KURNIYAH,-
"MOHAMMAD ASHARI, S.Pd.",-
MOH HOLILI,-
"SYAFRUDIN BUDIMAN, S.IP",-
RIZAL NOVIEARTANTO FADJRIN,-
"AINUR ROHMMATIN, S.IP",-
HJ. MASFUFAH,-
"YUDI SUDI HARTONO, S.H.I",-
"OVANG HARFIAN, S.E.",-
"LUKMAN RAMA SUDARMAWAN, S.Pd",-
"RIBBIYUNADIEN HARDINE, SE.",-
"MOHAMMAD ILYAS, S.S",-
ABDUL GHOFUR,-
LINA ISTIQOMAH,-
BAYU ANGGARA PUTRA,-
AYU PERMATASARI,-
BUSANI,-
RINI RATNA WATI,-
"ANNA LUTHFIE, S.Ag., M.Si.",-
"H. MUH. KHULAIM, J, S.P.,M.M.",-
AZZA IRENE MUFIA,-
"ASNAN ASHARI, S.H",-
FERRY IS MIRZA DM,-
LUTFA NURLAILI,-
JULIMARINI SRI RETNO WINAHYU,"ARI PRABOWO,ST"
"NUR SLAMET, SE",SRI WILUJENG
Drs.. MOH. RAMLI,-
Ir.. FATHORRACHMAN,-
"ANDI WAHIDA. S, SE",-
Drs.. NURUL HUDHA,-
WIDIA PRITA ASTRIA,-
"AKHMAD ZAINARITHO, SH",-
"KAMADI, S.E.",-
SRI WULANDARI,-
Ir. ANDI ZULKAPRIL MAKKURANGGONG,-
WAHYU EKA PRASETYA,-
"I.M MAHMUDIMY, SH , S.AG, MM",-
TONY ARIF SETIAWAN,-
"NINING HINDRIANI, SE",-
DIAH INDRA CAHYANI,-
MEYLYNA SRI WIJAYANTI,-
"HJ. ANIK MASLACHAH, S.PD., M.SI.",-
"IBBNU AZZAR FIRDAOUS, S.PD.I.",-
"MUCHAMMAD SHOLICHUL UMAM, S.PD.I.",-
"MIMING MERINA, S.SOS., M.M.",-
"EDO RAHARDIAN, S.H.",-
"ACHMAD AMIR ASLICHIN, S.H., B.PD., B.PC.",-
"SUKRI, S.E",-
"AFRIZAL AL, S.SOS., S.T",-
Dra. EC.. LAILISTIYA,-
DAVID REHYAAR,-
PUDJITO,-
LILIK LINDARWATI,-
"ZUMAN MALAKA, SH., MH., M.Kn",-
MOHAMMAD AFIF,-
"SHOBIKIN, S.Sos, MM",-
ADINDA PERMATA SARI,-
"EKO ENDI PRIYATMOKO, S.KOM",-
ROBERTTA INDIRA MAWARRINI,-
FENNY ADYANA BACHRI,-
H.. EDY SETYOBOEDI,-
R.A SRI TRIANTINI,-
"RIZAL KAKUNG RENATA, SE",-
"H. MOCHAMAD ARIFIN, S.SOS",-
"LIZA MARA MARDIANA, ST",-
"SEPTONOADI TONTOWI, S.H.",-
"H. MOH. ZAINUL LUTFI, SE",-
DRS.. MAHFUD,-
"FITRI ANI FATMAWATI, S.H.",-
"KARIYONO, S.T., M.T.",-
"DELFRI YUSRANSYAH DAZ, S.Sos.",-
YULIE CHRISTIE,-
WIWIK KARTININGSIH,-
ACH SOEUDI,-
AKHMAD TAUFIQ,MUNIROTUL AROFAH
H. FAUZAN DHOFIR,HJ. ISTIFAIYAH
"WIWIK NUR KHASANAH, S.Pd.",-
MUHAMMADIAH AGUS MUSLIM,-
BAMBANG SUDARMADI,-
IMA RAHMAWATI,-
Drs.. ABDUL HAMID MUDJIB,-
"AMNA MUSLIHA, S.Pd.I",-
Dra.. SUYANTI,-
"NUR ALI HUSIN, S.Sos",-
FARIZ FAROZDAG,-
"MUHLISUDDIN, SE.I",-
IR. H. WISHNU WARDHANA,-
"M. YUNUS ILYAS, SH",-
TYAS ASWARANINGRUM,-
"LUKMAN HAKIM, SH",-
MUCHAMMAD YUSUF,-
TITAK SANDRA GHOVANI PUTRI,-
SESILIA IRA ANGGRAINI,-
MUHAMMAD ALI,-
"H ALFIAN GUNAWAN, SE, MM",-
"DODIT YULI MULYAWAN HADI, SH",-
ANDREAS,-
MAKHRITA MUFIDA,-
"DRA. HJ.. AIDA FITRIATI, M.PD.I.",-
"ABD. AZIS, S.KOM., M.KOM.I.",-
"AHMAD HILMY, S.AG.",-
"AHMAD BADAWI, S.AG., M.PD.",-
"RAHADIAN JUNIARDI, S.E.",-
"DR. HJ.. ROSSA ILMA SILFIAH, S.H., M.HUM.",-
SURURIS ZAMAN,-
"HELMI SUDIONO FAUZAN, S.PD.",-
MUCHLIS,-
Dra. EC. YULI LUXMAYA,-
NUNUNG MOH. TOHA,-
TANTO WALONO,-
ENDAH PURWATININGSIH,-
M KHOIRUL,-
MUHAMMAD HAFID,-
BAYU HERMANSYAH,-
"BAMBANG HERI PURNOMO, SH",-
"YUNI MAUFIROTI, S.Pd.I",-
"HANAFI SANTOSO, SP",-
AGUNG PRAMONO,-
"R WIARDONO, SH, MH",-
"SRI PRATAMINARSIH, SE",-
JOSEPH FRANS LAPOD,-
"AHMAD YASIR AKBAR, S.E, MM",-
"HERMIN SISMIARSI, SE.",-
FIERMAN,-
"MASRURO, S.Ag.",-
MOCH. SAIFUL BASRI,-
"Drs.. AGUS SARWANTO, M.Si",-
"DHANY NIRMALA PUTRI, S.Pd., M.SEI.",-
MUH HASAN,-
NEVI APRILIYA SARI,-
"AWAN JULIARTO, SE",-
NILA NIRMALA,SUGIARTO
NOVIEAN ANDRIYANTO,PUTRI CHANDRA
ZULAIKHAH SUSILOWATI,SUSILO
MIHARSIH,SURJANADJI
MUH LUDFI ADI SUSILO,-
"H. LUTHFI AMAR, SH",-
"NURILLAH HANDAYANI, S.Pd",-
"AGUS PURNAMA HARIYANTO, S.P",-
"IWAN SUPRAYOGI, S.Kel",-
LULUK IRAWATI DJALAL,-
Drs.. SUGITO,-
AHMAD SAROJI,-
VITA KURNIAWATI,-
EKO SETYOWATI,-
NUR IMAMAH,-
"HELIOSA SOERWIANTO, S.Sos MM",-
"H. R. AGUS ROMADHI, SH.Msi",-
"HJ. ANING SULISTYOWATI, SE",-
WAHYU SOLIKIN,-
ANTONIUS RAYMOND LAYDRUS,-
HADI KUSWOYO,-
FANNY TRIANA,-
ERFAN TRISULISTIANTO,-
HERLENA CHANDRA,-
ERLYN AGUSTINA,-
"DR. H.. AKIK ZAMAN, M.PD.I.",-
"DRS. H.. HIDAYAT, M.SI.",-
"UBAIDILLAH, S.FIL.I.",-
FATCHAN HIMAMI HASAN,-
"SELVI FAUZIYAH, S.PD.",-
"ISMIATIN NORFADILAH, S.KOM.",-
SAIFUL BAHRI,-
"HASANUDIN, S.H.I., M.H.I.",-
"KH. ABDUL MALIK, S.Ag",-
"Dr. HADI WIJONO, ST., MM",-
"NINING WINDARTI, S.E",-
"DR.Drs.. MUHAMMAD ZUHDI, SH.MS,",-
SONNY AGUS SETIAWAN,-
M INDRA KORINARTI,-
RONI DWI RISDIANTO,-
WAHYUDI RAHMAD,-
MIRZA,-
M. NORSYIDI,-
FITRI IRA NILASARI,-
"A. FADLIL JAILANI, S.H.,M.H",-
DWI PUJI RAHAYU,-
JABAL RAHMAD,-
NABITHA ZAKIAH RAHMI,-
"Capt. SETYOBUDI SANTOSO, SH.,MH.,M.Mar",-
"RENOLD SIMANDJUNTAK, SH.",-
SEPTI DWI HANDAYANI,-
