nama_caleg,pasangan
"HERMAN BAHARI, S.H",SITI AISYAH
"RAZALI ZAINUDDIN, A.Md.","Idawati, S.Km"
NURHAYATI,-
SIWI ASRI MOPRIRATNA,DONNY APRILIANANDA
ZULHADI,FITRI YANTI
"AIYUB, SH., M.Si","SRI HANDAYANI, SE"
NURMALA DEWI,-
M. SANI ISHAK,YUSDIANA
"SAIFULLAH, S.Sos",SARDANIAH
MAULIANA,AHYAR FUADI
MUKSALMINA,NURLINA
"T. ZULFIKAR MAHMUD, ST",dr. RINDA LIANA
"NURSAFNI, A.MK",TARMIZI
SOFYAN PUTEH,MUSRIYANI HASAN
FITRIANI ISHAK,JUNAIDI
FAISAL,FITRIAH
"ZULFIKAR RASYID, SE",FERAWATI SIMATUPANG
HASDIANA,T. IVAN MIRZA
MUHAMMAD NUR,NURLAILA
KHAIRUL HUSNA,-
MAIMUDDIN ISHAK,YUNIAR. S.Kep
dr.. REZA,SITI
"IR.. H. T. MUTTAQIN, MM",UMMI ATTIYAH
"RISKA, SH.,M.Kn",-
"T. MUARIEF, SH",-
IR.. ZAINAL ABIDIN,SAFWANI
ELLYANA,AZHAR
SALAMUN,-
"LIA SRIWAHYUNI, S.Pd",-
"JAILANI, SH",KHAIRINA
DINA ANDIWANI,Almarhum
WALI YUNIS,-
MUSTAFA IBRAHIM,-
"IDA SUSANTI, S.EI",-
AYU NITA,MURTHALA
MARZUKI,ROSMAWATI A MAJID
"TGK RUSLAN BIN ABDUL JALIL, S.SOS,. MM","RAHMIYANTI, S.Pd.I"
WIRNA SARI,-
"AMARDUNA, S.Pd",NURLINA
"NOVIANTY, S.Pd",MUJIBURRAHMAN
RACHMATSYAH,-
"TANTAWI, S.IP","HJ. MONALISA, S.Pd."
"M. HASBI, S.Sos. MSM.","RASMIA, S.Pd."
DAENG ERTIKA SARI M,-
"TARMIDINSYAH ABUBAKAR, SE.",SRI INDAH MAYA
"RIKA ANJULI, Amd. Kep.",-
"NAZARUDDIN, SH.",RITA ZAHARA
"MUHAMMAD KAMAL, SE.","NURUL AKMAL, S.KM."
"NUR ANISAH, SE.",NOFALIDA
T. DANUS,-
JULIANA,-
EKA JULIANA,-
"H. RIDWAN YUNUS, SH",NAILA HAFNI
JUNAIDI YAHYA,Karina Olivia
ROSMAWATI,MUZAKIR A KASEM
MUHAMMAD ISA,AFRIDA
ASNAWI IDRIS,MAULIDAR
FATMA SARI BEWI,SURYA EFENDI
ABDUL MUKTI,DIAN ZOHRA
SOFYAN M. ADAM,SUTRI YANTI (Alm)
MAULIDAR,MUHAMMAD ADLI
SAIFUL AFWADI,-
INTAN HUMAIRA,Dr.LUKMAN HAKIM.B
MUKLIS AZHAR,IDA IRAWATI
DAYAN ABDULKARIM,-
"ANTONI ZULKARNAINI, SH",SRI RAHAYU
WINDA LESTARI,T. SAIFUL
"TEUKU ALFIANSYAH, SH",Rizki Amelia Putri
"NAZAR SAPUTRA, S.E",NURUL RAHMI
DRH. NURAINI MAIDA,Ir. Sori hamonangan
T. MAULANA YAHYA,"FEBY SUSANTI,SE"
SAYUTI M.NUR,NELLITA
"TJUT IKAMAULIZA, S.Pd",SABRI BADRUDDIN
ZULKIFLI,SAUDAH
"QADARISA PUTRA, SH",-
RAHMAYANI,-
"MUHAMMAD ICHSAN, S.T",AFRIANI
FAUZIAH HANUM,SAIMUN
T. MUHAMMAD ISA AZIZ,AIDA FONNA
"MUHAMMAD TAUFIQ, S.H",-
MAULIDYA ANNISA,-
"AFRIDAWATI, S.Pd",JUFRIADI
IDRIS,CUT SUFLIATI
"HELMI MUSA KUTA, SH",NOVIE ERLEY
"HALIMATUSSAKDIAH, SE",PANDAPOTAN HARAHAP
"BADRUDDIN, SE MM",KURNIASIH
"NASRULLAH, SHI",MURNIATI YUSUF
NURUL RAHMANI,-
IRMA SURYANI,-
"T. RUDI FATAHUL HADI, S.HI",Martiya Winda Sari
"INDRIANI, Amd",Teuku Izin
YUCHANDRA. H,Gustia Erna Wahyuni
"ZAINI, S.H",DARMAWATI
"Tgk. H. SANUSI USMAN, S.Pd.I",Khairiyah
DESRIANI,ISMAIL ALI
"HENDRA SAPUTRA, S.Pd",-
M. NASIR,SAFARIYAH
MAULIZA,-
SUNARYO,MELYA NANDA
CUT MARIATI,k
"Drs. H. MUHAMMAD JAMIL, M.Kes",Hj. Suswita
ABDUL HADI,MISYATI
"ISMAIL, S.Pd.I., M.Pd.",NURHAYATI
MAHDALENA,Ir. AHMAD FAUZA OBANY
H. SULAIMAN IBRAHIM,CUT SURDIANA TM DAUD
MUSLIM SYAMSUDDIN,Sufiyanti
"MIFTAHUL JANNAH, ST","Safaruddin, SH"
"MUHAMMAD DAUD, SKM., M.Si",REZEKI FERDIANTI
"SATRIA PUTRA, A. Md. Kep",MAULINDAWATI
"ASMAR HELLY, A.Md",-
MUHAMMAD YUSUF,-
MONA DAHLIA,-
AMIRANDA AB,NURMALI
"KHAIDIR, S.Kom",-
ZULKIFLI,fadillah
HUSDALIFAH,SYAMSUL BAHRI
"MUHAMMAD ARDANI, A.Md",-
WIRDA HANUM,-
MURTALA,siti masitah
LUL AMRI MUHAMMAD,-
SARYANNA,-
TEUKU HASBULLAH. HD,Dewi Diana Aji
"Dr. AHMAD FARHAN HAMID, MS","Ir. Ferry Soraya, MSIE"
"ERMIADI ABDUL RAHMAN, ST","NOVIANITA AR, SKM"
"ROSNAWATI, S.Pd.I",KHUWALID
"H. BASRUN YUSUF, SH",Damayanti
Drs. TEUKU BUSTAMI UMAR,ERNAWATI. B
"Drs. T.A. RAHMAN ALBA, MM","Cut Nurhayati,SE Ak"
SELVI OKTARICA,-
SUNDARI,T. MELDY SAHPUTRA
"AZHARI CAGE, S.IP",TARMIZI HAMZAH
"CUT AYU MAUIDHAH, S.Sos.I, M.Sos.",-
"H. A. RIDWAN M DALLAH, SE",HJ. DR. FATIMAH ZURAIDA
"ISWADI, M.Pd",SITI AMINAH
"PIPIH SOPIAH, SE",ABDULLAH
Ir. H. TAGORE ABU BAKAR,MEUTIA FAUZIAH
"HJ. MARIA KARSIA, S.S.",A. TAVIP SYAH
